PAGE_NO,TOTAL_ANNOTATION,DEVICE_NAME,CREATED_DATE,PROCESS_STAGE,BROWSER_VERSION,BROWSER_NAME,CATEGORY_ERROR,YEAR,TIME_BIN,IS_WEEKEND,MONTH
1,1,Desktop,2023-10-29 09:47:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,True,10
1,1,Desktop,2023-10-29 09:54:00,Passing Parameter,116.0.0.0,Chrome,PassingParam,2023,Morning,True,10
3,1,Desktop,2023-10-29 22:19:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,night,True,10
3,1,Desktop,2023-10-30 00:11:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,night,False,10
1,1,Desktop,2023-10-30 08:11:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
1,1,Desktop,2023-10-30 08:38:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
2,1,Desktop,2023-10-30 08:49:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
2,1,Desktop,2023-10-30 09:11:00,Passing Parameter,109.0.0.0,Chrome,PassingParam,2023,Morning,False,10
2,1,Desktop,2023-10-30 09:14:00,Passing Parameter,109.0.0.0,Chrome,PassingParam,2023,Morning,False,10
1,1,Desktop,2023-10-30 09:27:00,Passing Parameter,118.0.0.0,Firefox,PassingParam,2023,Morning,False,10
1,2,Desktop,2023-10-30 09:37:00,Passing Parameter,109.0.0.0,Chrome,PassingParam,2023,Morning,False,10
1,2,Desktop,2023-10-30 09:41:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
2,1,Desktop,2023-10-30 09:48:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
6,1,Desktop,2023-10-30 10:02:00,Passing Parameter,119.0.0.0,Firefox,PassingParam,2023,Morning,False,10
20,1,Desktop,2023-10-30 10:38:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
1,1,Desktop,2023-10-30 10:41:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
1,1,Desktop,2023-10-30 10:44:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
2,1,Desktop,2023-10-30 11:05:00,Passing Parameter,118.0.0.0,Chrome,PassingParam,2023,Morning,False,10
